"variable","post_mean","post_median","sd","lower95","lower90","upper90","upper95","model","label"
"b_genderM",0.0755158782983,0.0760583,0.10697979978395,-0.131292775,-0.1015241,0.2512745,0.2889322,"beta","Gender"
"b_independent",-0.840064979645275,-0.8488385,0.959828371833,-2.756837,-2.438402,0.71577065,1.074194,"beta","Independent"
"b_Intercept",-0.255843997706,-0.2581295,0.189421711177977,-0.628956125,-0.56784875,0.056274925,0.112263025,"beta","Intercept"
"b_mask_mandate",0.1648582519825,0.1648745,0.0622642409966499,0.0433252775,0.062192465,0.2696042,0.28804465,"beta","State mask mandate"
"b_republican",0.06401432387115,0.0705689,0.301017926794557,-0.541296225,-0.44332775,0.55144875,0.648112725,"beta","Republican"
"b_scaleage",0.1233792858375,0.122882,0.0465029249200084,0.0331064575,0.0468923,0.19931955,0.217068975,"beta","Age"
"b_scaleage65_prop",0.071269714061225,0.07110995,0.0514981377380659,-0.0328099025,-0.01223123,0.1549984,0.170801225,"beta","Proportion over 65"
"b_scalecases_norm_l1",-0.000946629631345,-0.0007339405,0.0223554227513258,-0.04507992,-0.038330145,0.036031165,0.042872865,"beta","Cases"
"b_scaledeaths_norm_l1",0.0201164230276175,0.0194781,0.0803892052368995,-0.1366226,-0.1128399,0.15026515,0.183206325,"beta","Deaths"
"b_scaledpres",-0.2510632860747,-0.2525705,0.334660146662845,-0.90884355,-0.81092675,0.3023572,0.413602175,"beta","Clinton vote share"
"b_scalefollowers",-0.020540049417025,-0.0212735,0.0508161684995233,-0.122019975,-0.1032521,0.061962795,0.0769630825,"beta","Followers"
"b_scalemargin_pc",-0.059155275690375,-0.0579752,0.0550327315854258,-0.168742325,-0.15074415,0.027888565,0.0457685675,"beta","Margin of victory"
"b_scalemedianIncomeE",-0.0075257698091,-0.008541565,0.0486834871082233,-0.101420475,-0.08603974,0.072490955,0.0852521425,"beta","Median income"
"b_scalenet_trump_vote",-0.349212005807908,-0.3464995,0.343367866395469,-1.0284505,-0.91699245,0.2123408,0.332163275,"beta","Net Trump vote"
"b_scalenokken_poole_dim1",-0.07299169706482,-0.07410105,0.168486995716606,-0.398553275,-0.346373,0.2091782,0.261891875,"beta","Ideology (DW Nominate 1)"
"b_scalenokken_poole_dim2",0.03432885157595,0.03454805,0.0509325457289472,-0.06775324,-0.04861194,0.11865045,0.134429875,"beta","Ideology (DW Nominate 2)"
"b_scaleVery.low.density",-0.050305596015525,-0.0500182,0.0684332010152173,-0.1828941,-0.16159175,0.060330555,0.0827201725,"beta","Population density "
"b_typeSEN",0.03164437266525,0.0332403,0.129705789434222,-0.2215991,-0.18328525,0.24519755,0.282581275,"beta","Senator"
"b_zi_genderM",0.263160291720825,0.2607385,0.128373415130325,0.0185107325,0.05282283,0.47773105,0.51604335,"zero-inflated","Gender"
"b_zi_independent",0.3392864957455,0.3311345,0.905768846212728,-1.42909075,-1.166224,1.8238745,2.10950575,"zero-inflated","Independent"
"b_zi_Intercept",1.54809556175,1.549715,0.229483091715325,1.0950955,1.1662815,1.9213255,2.0008415,"zero-inflated","Intercept"
"b_zi_mask_mandate",-0.1630581770665,-0.1633935,0.075062609939321,-0.313711725,-0.2882067,-0.04236794,-0.0186927425,"zero-inflated","State mask mandate"
"b_zi_republican",-0.5320139989175,-0.531078,0.339244553201819,-1.1982105,-1.0999995,0.0274556549999997,0.148386125,"zero-inflated","Republican"
"b_zi_scaleage",0.104015503219825,0.1042265,0.0560913352864616,-0.00309595875,0.012261275,0.1972228,0.215453825,"zero-inflated","Age"
"b_zi_scaleage65_prop",-0.03625279180985,-0.0366147,0.0605203845339413,-0.154069275,-0.135166,0.064630585,0.08308192,"zero-inflated","Proportion over 65"
"b_zi_scalecases_norm_l1",-0.0854075169711,-0.0847426,0.0329954280554466,-0.1516979,-0.1411481,-0.03214259,-0.0221618575,"zero-inflated","Cases"
"b_zi_scaledeaths_norm_l1",0.194593614074,0.187393,0.0807895836101398,0.055168925,0.072215925,0.3355361,0.36810865,"zero-inflated","Deaths"
"b_zi_scaledpres",-0.51228141037425,-0.5160365,0.405927420952382,-1.29138775,-1.162844,0.16789115,0.30119945,"zero-inflated","Clinton vote share"
"b_zi_scalefollowers",-0.005578791377575,-0.00551106,0.0584019372564146,-0.119432925,-0.10181045,0.0892872499999999,0.10661955,"zero-inflated","Followers"
"b_zi_scalemargin_pc",0.152070417231175,0.15097,0.0664082885982404,0.0279231075,0.045142945,0.26179985,0.28300215,"zero-inflated","Margin of victory"
"b_zi_scalemedianIncomeE",0.16367041945325,0.1632475,0.0581096581748972,0.0532699925,0.070184355,0.2604072,0.280473025,"zero-inflated","Median income"
"b_zi_scalenet_trump_vote",-0.500955768437825,-0.5116865,0.421183307330614,-1.32437375,-1.181376,0.194342949999999,0.3495241,"zero-inflated","Net Trump vote"
"b_zi_scalenokken_poole_dim1",0.5730711099,0.572988,0.186926346968112,0.19463385,0.26060585,0.87966775,0.940503225,"zero-inflated","Ideology (DW Nominate 1)"
"b_zi_scalenokken_poole_dim2",0.0416313128129555,0.04052205,0.0633465007440864,-0.0851612425,-0.061278845,0.14632445,0.16746365,"zero-inflated","Ideology (DW Nominate 2)"
"b_zi_scaleVery.low.density",0.105917332105625,0.1048505,0.079135482928344,-0.04458005,-0.02347301,0.23806295,0.2645962,"zero-inflated","Population density "
"b_zi_typeSEN",-0.046733223581925,-0.04655145,0.1514876604643,-0.346125975,-0.2967514,0.19330595,0.24412375,"zero-inflated","Senator"
"r_yr_wk__zi[2020_13,Intercept]",0.8408420675,0.838274,0.215761654613005,0.426125,0.50119505,1.203421,1.2630395,"zero-inflated","CDC (offset)"
"r_yr_wk__zi[2020_21,Intercept]",0.33660133036125,0.3325615,0.188435625174573,-0.034580535,0.02678986,0.64372365,0.708633475,"zero-inflated","Biden mask (offset)"
"r_yr_wk__zi[2020_28,Intercept]",-0.33842595511425,-0.3383015,0.17655727417363,-0.6827329,-0.6294203,-0.041220515,0.0160122475000002,"zero-inflated","Trump mask (offset)"
"r_yr_wk__zi[2020_44,Intercept]",-1.827264035,-1.8267,0.164097412110564,-2.15683,-2.105415,-1.557711,-1.518122,"zero-inflated","Election (offset)"
"r_yr_wk[2020_13,Intercept]",-0.3407421552888,-0.3396685,0.190588836936259,-0.713142575,-0.65396745,-0.0239664000000001,0.0344746675,"beta","CDC (offset)"
"r_yr_wk[2020_21,Intercept]",-0.00213803891875,-0.00300758,0.142896871431456,-0.2785022,-0.2351885,0.2317496,0.28279765,"beta","Biden mask (offset)"
"r_yr_wk[2020_28,Intercept]",-0.0413064439014227,-0.03787045,0.126172154329734,-0.2828946,-0.24921255,0.1608516,0.19796535,"beta","Trump mask (offset)"
"r_yr_wk[2020_44,Intercept]",-0.09703844022401,-0.09721215,0.0979903841136702,-0.2878779,-0.2612013,0.0615847599999999,0.0948372600000003,"beta","Election (offset)"
