"variable","post_mean","post_median","sd","lower95","lower90","upper90","upper95","model","label"
"b_genderM",0.114466103982525,0.114394,0.208317831383121,-0.30490655,-0.23119875,0.45047435,0.519863425,"beta","Gender"
"b_independent",0.9819199899065,0.9691605,0.812544891893886,-0.556521425,-0.3426889,2.343874,2.661333,"beta","Independent"
"b_Intercept",-0.99304711957,-0.998587,0.348694126064398,-1.66522775,-1.558736,-0.4044475,-0.31052975,"beta","Intercept"
"b_mask_mandate",0.348208203725,0.3491415,0.0848158614954272,0.178130825,0.20643285,0.4880978,0.51257745,"beta","State mask mandate"
"b_republican",0.42994527774425,0.435725,0.507985930482274,-0.567264675,-0.4090292,1.244518,1.411397,"beta","Republican"
"b_scaleage",0.136336739980515,0.136541,0.0917846195911317,-0.04045387,-0.0130409,0.28819495,0.31921945,"beta","Age"
"b_scaleage65_prop",0.11345470189775,0.1124195,0.100823165974884,-0.0851509,-0.05326777,0.28126925,0.319609225,"beta","Proportion over 65"
"b_scalecases_norm_l1",0.026155091026775,0.0258835,0.043604301923485,-0.05762969,-0.046312145,0.09842701,0.11298365,"beta","Cases"
"b_scaledeaths_norm_l1",-0.22059711049975,-0.2228205,0.207750933281555,-0.62986795,-0.56342525,0.1120735,0.1913974,"beta","Deaths"
"b_scaledpres",0.0655836456805,0.066543,0.236832846878447,-0.406059575,-0.3262829,0.45860455,0.542746275,"beta","Clinton vote share"
"b_scalefollowers",-0.1687274270829,-0.1676725,0.105165765174656,-0.3804067,-0.3410176,0.00481197449999998,0.0417531325,"beta","Followers"
"b_scalemargin_pc",0.11458925796155,0.1152815,0.0873261240091248,-0.05981526,-0.029670185,0.25551945,0.282174075,"beta","Margin of victory"
"b_scalemedianIncomeE",0.15344825133145,0.1518775,0.125966213585425,-0.093409115,-0.050937855,0.3599679,0.407085,"beta","Median income"
"b_scalenet_trump_vote",-0.0241309657806,-0.0281652,0.272315964687063,-0.552583875,-0.4744113,0.43662215,0.517841225,"beta","Net Trump vote"
"b_scalenokken_poole_dim1",-0.023891551645725,-0.0240028,0.277782790740014,-0.55626695,-0.4709854,0.43356925,0.538885725,"beta","Ideology (DW Nominate 1)"
"b_scalenokken_poole_dim2",0.0582021855985175,0.05977275,0.102759537510155,-0.14513675,-0.1111042,0.22747505,0.2557943,"beta","Ideology (DW Nominate 2)"
"b_scaleVery.low.density",-0.0764757595817675,-0.0736562,0.130040827209672,-0.335812275,-0.2902406,0.13292535,0.178036425,"beta","Population density "
"b_zi_genderM",0.0687534397659,0.06701775,0.284275625532744,-0.487176675,-0.39576455,0.536412999999999,0.6235609,"zero-inflated","Gender"
