"variable","post_mean","post_median","sd","lower95","lower90","upper90","upper95","model","label"
"b_genderM",0.101231876164,0.1023395,0.0884270642019276,-0.07013405,-0.04730887,0.24788255,0.2761914,"beta","Gender"
"b_independent",0.68609164556425,0.678596,0.624878965771976,-0.5246966,-0.3367434,1.7115165,1.92613375,"beta","Independent"
"b_Intercept",-0.79223272525,-0.7908195,0.158635006164612,-1.096174,-1.0495275,-0.5296721,-0.47677445,"beta","Intercept"
"b_mask_mandate",0.1043508108901,0.1039335,0.0453942124004741,0.01791672,0.030830215,0.17950835,0.193721475,"beta","State mask mandate"
"b_republican",0.5368205001345,0.5376885,0.237494579594701,0.062657865,0.14081245,0.9208413,1.0034895,"beta","Republican"
"b_scaleage",0.045375959676925,0.0458504,0.0383582531028508,-0.0340554,-0.019612915,0.1067387,0.118979475,"beta","Age"
"b_scaleage65_prop",0.07466395616625,0.0761385,0.0405140305442943,-0.00814581375,0.006893962,0.13921585,0.152307575,"beta","Proportion over 65"
"b_scalecases_norm_l1",0.006670967839225,0.006996545,0.0200177144778654,-0.03358668,-0.02780024,0.038968205,0.04614016,"beta","Cases"
"b_scaledeaths_norm_l1",-0.0335265137354,-0.0330454,0.0479186493516025,-0.130865975,-0.1148714,0.0429480249999999,0.0579981775,"beta","Deaths"
"b_scaledpres",0.1061299423765,0.1061465,0.246321161965828,-0.372701725,-0.2977542,0.51108975,0.590854025,"beta","Clinton vote share"
"b_scalefollowers",-0.011162184454975,-0.01161625,0.0435248482706373,-0.0950987975,-0.083442775,0.06108792,0.074798565,"beta","Followers"
"b_scalemargin_pc",0.067743467800925,0.0672638,0.0445452338332584,-0.0198853075,-0.0067417815,0.1400234,0.154752625,"beta","Margin of victory"
"b_scalemedianIncomeE",-0.015287439080775,-0.01533925,0.0400869879597847,-0.0943307125,-0.08079988,0.051330375,0.064288535,"beta","Median income"
"b_scalenet_trump_vote",0.1576568430322,0.153882,0.257244950668703,-0.335342625,-0.2633584,0.576404299999999,0.666559825,"beta","Net Trump vote"
"b_scalenokken_poole_dim1",-0.301130857557825,-0.304327,0.133226140747359,-0.55543135,-0.51783725,-0.0743238,-0.03820676,"beta","Ideology (DW Nominate 1)"
"b_scalenokken_poole_dim2",-0.05421939915235,-0.0539315,0.0427889625131766,-0.136519425,-0.12432575,0.0152518349999999,0.0276065775,"beta","Ideology (DW Nominate 2)"
"b_scaleVery.low.density",0.02557907944305,0.02380295,0.0573530783553887,-0.081435865,-0.06720156,0.12200835,0.14302355,"beta","Population density "
"b_typeSEN",0.233039107368925,0.2334635,0.0973015931290231,0.0389660225,0.07141356,0.3915164,0.4233825,"beta","Senator"
"b_zi_genderM",0.116529750578575,0.115808,0.0948152616298484,-0.070035115,-0.03640135,0.2702061,0.29778935,"zero-inflated","Gender"
"b_zi_independent",0.7165643393685,0.7032865,0.681411681021314,-0.574461675,-0.39640085,1.8430305,2.10384825,"zero-inflated","Independent"
"b_zi_Intercept",0.98317935625,0.985786,0.177704241974722,0.6365965,0.6923764,1.2696805,1.31566325,"zero-inflated","Intercept"
"b_zi_mask_mandate",-0.194463291475,-0.1940715,0.0554657652633128,-0.304739425,-0.28540325,-0.1033297,-0.0801103725,"zero-inflated","State mask mandate"
"b_zi_republican",-0.0648830085797075,-0.06243485,0.258684555265177,-0.561621975,-0.48904905,0.3582539,0.4577367,"zero-inflated","Republican"
"b_zi_scaleage",0.1648532771,0.1647755,0.0408518718250307,0.08797894,0.09860855,0.2320965,0.24500515,"zero-inflated","Age"
"b_zi_scaleage65_prop",0.0289459115225095,0.0283623,0.0443682025912814,-0.054467345,-0.042602175,0.10184375,0.117072875,"zero-inflated","Proportion over 65"
