"variable","mean","median","sd","2.5%","5%","95%","97.5%"
"Intercept",-1.11347197375,-1.115,0.140219232932874,-1.380511,-1.341201,-0.8791004,-0.83572255
"Republican",0.489804302566125,0.493425,0.209746934620806,0.087061595,0.1458754,0.83557405,0.89038475
"Independent",0.750509416544575,0.751163,0.514269454052671,-0.27597225,-0.10606565,1.5875565,1.80613325
"Ideology (DW Nominate 1)",-0.253337073089675,-0.2539865,0.113421235977586,-0.475459425,-0.43537385,-0.0659940300000001,-0.0318460925
"Ideology (DW Nominate 2)",0.014487492448365,0.0139395,0.0378123943043232,-0.0593564175,-0.04824239,0.077110815,0.0878250975
"Net Trump vote",0.03256076372765,0.035663,0.22415674318432,-0.401889775,-0.33632245,0.4039077,0.4680779
"Senator",0.2496779666825,0.2492185,0.0886624610077727,0.0778687725,0.1018324,0.39661365,0.423683225
"Gender",0.088201761941975,0.0881413,0.0784209231061113,-0.0694095025,-0.04021579,0.2161179,0.2393772
"Age",0.080824521940825,0.08108645,0.0340582339698173,0.0145265675,0.025801775,0.13545745,0.1464521
"Cases",-0.00270943311146,-0.002098145,0.0157911507922172,-0.0348194025,-0.02933433,0.023071085,0.0270934475
"Deaths",-0.016991238186325,-0.016167,0.03872717316393,-0.0957402675,-0.082179655,0.04519463,0.056341805
"State mask mandate",0.083641513890925,0.083262,0.0360534457818896,0.0115038025,0.02434257,0.14320005,0.155096175
"Clinton vote share",0.024954169486395,0.022827,0.217562062504294,-0.399336925,-0.33003775,0.37377235,0.4474212
"Margin of victory",0.047140774993537,0.04731945,0.0394801144258265,-0.0283134675,-0.016686605,0.11075965,0.12435155
"Median income",-0.0148566574940375,-0.01419935,0.0355354033080817,-0.0832242975,-0.071968245,0.04239812,0.05418813
"Population density ",0.00990800451505,0.0102736,0.048332491765347,-0.0858278625,-0.070068555,0.08919915,0.10602405
"Proportion over 65",0.04925708756807,0.04977705,0.0360791939564833,-0.0218242475,-0.00933496449999999,0.1088936,0.121912675
"Followers",-0.052636272417575,-0.0518848,0.0349361611591554,-0.121153475,-0.10997645,0.00580888699999998,0.0160226975
